2.24E+00	-4.74E-01	4.10E-02
2.28E+00	-4.33E-01	3.20E-02
2.41E+00	-3.42E-01	4.60E-02
2.61E+00	-1.47E-01	1.80E-02
2.97E+00	1.74E-01	-2.60E-02
3.32E+00	5.70E-01	-2.40E-02
3.49E+00	1.12E+00	2.48E-01
3.36E+00	1.17E+00	9.00E-02
3.08E+00	4.52E-01	2.16E-01
2.96E+00	2.98E-01	-2.35E-01
2.97E+00	1.82E-01	-1.09E-01
2.99E+00	1.56E-01	6.90E-02
2.89E+00	-3.40E-02	2.37E-01
2.67E+00	-7.80E-02	2.91E-01
2.41E+00	-3.00E-01	9.20E-02
2.27E+00	-4.76E-01	-9.30E-02
2.27E+00	-5.66E-01	-6.00E-02
2.36E+00	-5.94E-01	2.10E-02
2.42E+00	-5.01E-01	1.54E-01
2.43E+00	-5.05E-01	2.02E-01
2.42E+00	-4.77E-01	9.60E-02
2.42E+00	-4.71E-01	1.90E-02
2.45E+00	-4.07E-01	-5.50E-02
2.49E+00	-3.27E-01	1.00E-02
2.51E+00	-2.16E-01	1.70E-02
2.54E+00	-1.12E-01	4.70E-02
2.59E+00	-4.40E-02	7.80E-02
2.66E+00	4.00E-02	7.30E-02
2.75E+00	1.82E-01	3.60E-02
2.90E+00	3.20E-01	-5.40E-02
3.11E+00	5.23E-01	-1.01E-01
3.21E+00	6.59E-01	-3.00E-03
3.19E+00	5.87E-01	3.90E-02
3.02E+00	2.41E-01	-7.10E-02
2.85E+00	-7.00E-03	-3.16E-01
2.77E+00	-8.30E-02	-1.72E-01
2.73E+00	-2.23E-01	6.70E-02
2.73E+00	-1.52E-01	2.21E-01
2.70E+00	-7.20E-02	1.96E-01
2.70E+00	-3.60E-02	1.21E-01
2.75E+00	-2.30E-02	1.13E-01
2.78E+00	1.40E-02	1.82E-01
2.73E+00	-4.00E-02	1.65E-01
2.57E+00	-1.41E-01	5.60E-02
2.39E+00	-3.30E-01	-1.03E-01
2.27E+00	-4.06E-01	-1.85E-01
2.27E+00	-4.62E-01	-1.75E-01
2.33E+00	-3.68E-01	-4.80E-02
2.42E+00	-2.93E-01	1.00E-01
2.51E+00	-2.03E-01	1.94E-01
2.61E+00	-8.70E-02	2.09E-01
2.68E+00	-2.00E-03	1.44E-01
2.74E+00	9.70E-02	1.00E-02
2.83E+00	1.22E-01	-3.80E-02
2.92E+00	1.54E-01	-4.90E-02
2.97E+00	1.78E-01	-2.40E-02
2.99E+00	1.88E-01	8.30E-02
2.96E+00	2.27E-01	3.10E-02
2.90E+00	1.72E-01	-3.00E-02
2.83E+00	6.30E-02	-4.40E-02
2.80E+00	5.10E-02	-1.16E-01
2.83E+00	2.30E-02	-1.11E-01
2.90E+00	2.00E-02	5.00E-03
2.90E+00	9.50E-02	1.29E-01
2.85E+00	4.00E-02	1.72E-01
2.74E+00	1.10E-02	5.40E-02
2.67E+00	-6.10E-02	-2.60E-02
2.61E+00	-8.60E-02	-2.90E-02
2.55E+00	-1.46E-01	-6.00E-02
2.49E+00	-1.83E-01	-6.40E-02
2.50E+00	-2.30E-01	-3.50E-02
2.55E+00	-2.24E-01	1.60E-02
2.60E+00	-8.40E-02	2.10E-02
2.60E+00	-4.10E-02	-1.50E-02
2.55E+00	-2.90E-02	-1.70E-02
2.51E+00	-7.60E-02	-2.60E-02
2.52E+00	-1.29E-01	-2.10E-02
2.56E+00	-1.21E-01	5.00E-03
2.63E+00	-1.11E-01	5.30E-02
2.74E+00	-6.30E-02	9.90E-02
2.87E+00	1.90E-02	1.17E-01
2.92E+00	1.18E-01	8.90E-02
2.90E+00	9.20E-02	3.60E-02
2.87E+00	-1.90E-02	-1.10E-02
2.90E+00	-4.10E-02	3.00E-02
2.97E+00	3.20E-02	1.28E-01
2.98E+00	1.55E-01	2.09E-01
2.90E+00	1.87E-01	1.63E-01
2.78E+00	6.60E-02	5.00E-02
2.70E+00	-9.10E-02	-3.50E-02
2.67E+00	-1.80E-01	-2.60E-02
2.67E+00	-1.89E-01	-1.10E-02
2.68E+00	-1.16E-01	-3.00E-03
2.69E+00	-4.10E-02	1.50E-02
2.70E+00	1.80E-02	8.30E-02
2.75E+00	6.40E-02	1.61E-01
2.76E+00	1.54E-01	2.16E-01
2.68E+00	1.51E-01	2.12E-01
2.51E+00	9.00E-03	4.30E-02
2.40E+00	-1.73E-01	-1.69E-01
2.47E+00	-1.84E-01	-1.79E-01
2.68E+00	-2.30E-02	6.40E-02
2.82E+00	2.12E-01	3.17E-01
2.75E+00	2.47E-01	3.61E-01
2.58E+00	7.70E-02	1.36E-01
2.46E+00	-1.44E-01	-9.40E-02
2.49E+00	-2.36E-01	-1.32E-01
2.60E+00	-1.78E-01	-4.00E-02
2.70E+00	-7.80E-02	7.20E-02
2.76E+00	-6.90E-02	1.00E-01
2.79E+00	-1.12E-01	5.90E-02
2.80E+00	-1.51E-01	4.00E-02
2.82E+00	-1.35E-01	-1.10E-02
2.84E+00	-6.00E-02	-5.90E-02
2.90E+00	4.10E-02	-5.20E-02
2.95E+00	1.44E-01	-2.30E-02
2.97E+00	1.89E-01	2.90E-02
2.98E+00	2.01E-01	6.40E-02
3.00E+00	2.53E-01	1.13E-01
2.98E+00	3.05E-01	1.71E-01
2.86E+00	2.32E-01	1.24E-01
2.70E+00	8.20E-02	3.90E-02
2.60E+00	-5.50E-02	1.40E-02
2.55E+00	-1.44E-01	7.60E-02
2.52E+00	-1.66E-01	1.39E-01
2.48E+00	-2.07E-01	1.60E-01
2.45E+00	-2.13E-01	1.05E-01
2.43E+00	-1.67E-01	3.30E-02
2.50E+00	-9.80E-02	-3.90E-02
2.56E+00	-3.00E-03	8.00E-03
2.53E+00	-9.00E-03	3.40E-02
2.43E+00	-1.23E-01	-2.90E-02
2.40E+00	-2.24E-01	-1.01E-01
2.52E+00	-1.89E-01	-7.30E-02
2.56E+00	-4.41E-01	4.90E-02
2.63E+00	-2.57E-01	1.61E-01
2.64E+00	-2.36E-01	9.80E-02
2.63E+00	-2.26E-01	-1.00E-03
2.61E+00	-2.35E-01	-4.20E-02
2.59E+00	-2.26E-01	-7.70E-02
2.59E+00	-1.75E-01	-1.28E-01
2.61E+00	-1.32E-01	-1.26E-01
2.64E+00	-7.90E-02	-8.90E-02
2.68E+00	-5.10E-02	-5.50E-02
2.75E+00	-2.00E-03	4.00E-03
2.87E+00	1.33E-01	1.10E-01
2.94E+00	2.46E-01	2.13E-01
2.95E+00	3.11E-01	2.37E-01
2.92E+00	2.93E-01	1.96E-01
2.91E+00	2.58E-01	1.96E-01
2.91E+00	2.80E-01	2.92E-01
2.85E+00	2.53E-01	2.90E-01
2.73E+00	1.07E-01	1.84E-01
2.68E+00	-3.00E-03	2.50E-02
2.73E+00	8.00E-03	-1.80E-02
2.77E+00	2.30E-02	4.20E-02
2.74E+00	-3.00E-02	1.01E-01
2.65E+00	-1.85E-01	4.80E-02
2.59E+00	-3.15E-01	-5.20E-02
2.57E+00	-3.42E-01	-1.02E-01
2.62E+00	-3.33E-01	-1.17E-01
2.66E+00	-2.38E-01	-3.20E-02
2.69E+00	-1.70E-01	8.00E-03
2.67E+00	-1.61E-01	-4.00E-02
2.63E+00	-1.51E-01	-7.80E-02
2.60E+00	-1.78E-01	-1.23E-01
2.60E+00	-1.92E-01	-1.54E-01
2.67E+00	-1.33E-01	-9.30E-02
2.76E+00	-4.10E-02	4.00E-02
2.80E+00	3.10E-02	1.91E-01
2.78E+00	-1.00E-02	2.02E-01
2.83E+00	-4.30E-02	9.60E-02
3.03E+00	6.80E-02	7.70E-02
3.26E+00	3.55E-01	1.87E-01
3.24E+00	4.94E-01	3.06E-01
3.03E+00	3.37E-01	2.31E-01
2.78E+00	7.10E-02	7.80E-02
2.67E+00	-8.80E-02	-7.30E-02
2.72E+00	-1.46E-01	-8.80E-02
2.83E+00	-8.70E-02	-5.70E-02
2.89E+00	6.00E-03	4.60E-02
2.85E+00	3.00E-03	1.37E-01
2.71E+00	-1.04E-01	6.50E-02
2.56E+00	-2.23E-01	-1.40E-02
2.47E+00	-3.40E-01	-4.10E-02
2.41E+00	-4.14E-01	-7.80E-02
2.36E+00	-4.03E-01	-8.70E-02
2.38E+00	-3.79E-01	-9.90E-02
2.54E+00	-2.61E-01	-4.20E-02
2.76E+00	-2.20E-02	5.80E-02
2.90E+00	2.47E-01	1.33E-01
2.90E+00	3.58E-01	1.50E-01
2.78E+00	2.90E-01	8.90E-02
2.71E+00	1.53E-01	4.80E-02
2.73E+00	1.16E-01	1.27E-01
2.75E+00	1.44E-01	1.86E-01
2.71E+00	8.60E-02	2.54E-01
2.66E+00	-1.50E-02	1.63E-01
2.65E+00	-9.30E-02	4.60E-02
2.74E+00	-8.70E-02	4.00E-03
2.88E+00	2.30E-02	1.40E-02
2.99E+00	1.71E-01	1.90E-02
3.04E+00	2.48E-01	2.90E-02
3.02E+00	2.09E-01	1.50E-02
2.96E+00	1.28E-01	1.09E-01
2.87E+00	6.80E-02	1.34E-01
2.75E+00	-1.30E-02	9.20E-02
2.65E+00	-1.28E-01	1.40E-02
2.59E+00	-2.41E-01	-5.80E-02
2.55E+00	-3.02E-01	-6.80E-02
2.53E+00	-3.20E-01	-2.00E-02
2.50E+00	-2.99E-01	5.10E-02
2.48E+00	-2.85E-01	9.00E-02
2.48E+00	-3.46E-01	1.06E-01
2.51E+00	-3.16E-01	4.60E-02
2.62E+00	-2.06E-01	-3.80E-02
2.82E+00	-1.00E-02	-9.20E-02
3.01E+00	2.42E-01	-9.70E-02
3.16E+00	4.40E-01	-5.50E-02
3.15E+00	4.12E-01	1.40E-02
3.02E+00	4.97E-01	2.01E-01
2.87E+00	2.85E-01	2.07E-01
2.76E+00	1.31E-01	1.30E-01
2.77E+00	3.30E-02	1.29E-01
2.82E+00	3.10E-02	1.27E-01
2.84E+00	-1.30E-02	1.71E-01
2.81E+00	-3.90E-02	1.61E-01
2.77E+00	-8.60E-02	1.31E-01
2.72E+00	-1.41E-01	1.26E-01
2.65E+00	-2.22E-01	9.70E-02
2.57E+00	-2.98E-01	-1.90E-02
2.54E+00	-3.67E-01	-9.40E-02
2.59E+00	-3.42E-01	-9.70E-02
2.65E+00	-2.84E-01	-7.50E-02
2.68E+00	-2.17E-01	-2.70E-02
2.66E+00	-1.61E-01	-3.00E-03
2.63E+00	-1.40E-01	-2.00E-03
2.63E+00	-1.13E-01	-5.90E-02
2.70E+00	-4.20E-02	-1.14E-01
2.84E+00	8.70E-02	-1.23E-01
2.95E+00	2.65E-01	-8.40E-02
2.96E+00	3.42E-01	-2.50E-02
2.87E+00	1.41E-01	4.20E-02
2.79E+00	1.31E-01	-7.40E-02
2.81E+00	9.20E-02	-6.00E-02
2.85E+00	1.09E-01	-1.00E-03
2.85E+00	1.73E-01	5.60E-02
2.79E+00	1.13E-01	3.20E-02
2.74E+00	6.00E-03	3.50E-02
2.71E+00	-7.40E-02	3.00E-02
2.74E+00	-9.80E-02	8.40E-02
2.77E+00	-8.10E-02	1.55E-01
2.75E+00	-1.02E-01	2.00E-01
2.66E+00	-1.68E-01	1.78E-01
2.60E+00	-2.48E-01	2.10E-02
2.60E+00	-2.91E-01	-7.60E-02
2.72E+00	-2.31E-01	-6.00E-02
2.86E+00	-1.07E-01	1.13E-01
2.89E+00	4.80E-02	2.60E-01
2.79E+00	3.50E-02	2.05E-01
2.60E+00	-1.19E-01	-1.50E-02
2.49E+00	-2.75E-01	-2.47E-01
2.56E+00	-2.85E-01	-2.73E-01
2.76E+00	-1.13E-01	-1.44E-01
2.94E+00	1.27E-01	4.30E-02
2.98E+00	2.78E-01	1.27E-01
2.89E+00	2.83E-01	1.45E-01
2.78E+00	9.90E-02	4.30E-02
2.70E+00	-3.10E-02	-2.30E-02
2.68E+00	-9.10E-02	-1.36E-01
2.73E+00	-1.28E-01	-7.10E-02
2.78E+00	-7.00E-02	1.06E-01
2.84E+00	2.00E-02	1.48E-01
2.87E+00	1.03E-01	1.54E-01
2.88E+00	1.70E-02	2.05E-01
2.82E+00	-3.80E-02	2.04E-01
2.74E+00	-1.08E-01	8.70E-02
2.73E+00	-1.47E-01	-1.70E-02
2.82E+00	-9.80E-02	4.00E-03
2.94E+00	3.90E-02	1.24E-01
2.98E+00	1.77E-01	2.32E-01
2.87E+00	1.49E-01	2.88E-01
2.66E+00	-6.00E-03	1.77E-01
2.44E+00	-2.23E-01	6.20E-02
2.35E+00	-3.67E-01	-8.60E-02
2.47E+00	-3.15E-01	-7.60E-02
2.64E+00	-1.51E-01	5.70E-02
2.77E+00	3.10E-02	1.56E-01
2.81E+00	1.66E-01	1.15E-01
2.81E+00	2.01E-01	2.30E-02
2.80E+00	1.58E-01	-1.90E-02
2.78E+00	8.60E-02	3.70E-02
2.76E+00	1.02E-01	6.80E-02
2.78E+00	6.60E-02	1.25E-01
2.75E+00	-1.00E-03	1.28E-01
2.70E+00	-9.00E-02	9.10E-02
2.65E+00	-1.85E-01	9.00E-03
2.66E+00	-2.14E-01	-5.50E-02
2.70E+00	-1.66E-01	-6.10E-02
2.76E+00	-9.00E-02	-3.50E-02
2.80E+00	-4.70E-02	4.00E-02
2.83E+00	-2.20E-02	8.70E-02
2.84E+00	1.00E-02	8.80E-02
2.85E+00	4.00E-02	8.40E-02
2.81E+00	1.90E-02	5.50E-02
2.76E+00	-3.50E-02	4.00E-02
2.71E+00	-9.10E-02	1.80E-02
2.67E+00	-9.20E-02	2.20E-02
2.66E+00	-7.30E-02	4.90E-02
2.65E+00	-5.90E-02	3.60E-02
2.67E+00	-5.00E-03	2.40E-02
2.70E+00	3.10E-02	4.70E-02
2.73E+00	5.80E-02	1.02E-01
2.72E+00	4.30E-02	1.28E-01
2.70E+00	1.60E-02	8.80E-02
2.71E+00	3.20E-02	3.40E-02
2.74E+00	9.40E-02	1.20E-02
2.79E+00	1.48E-01	2.00E-02
2.84E+00	1.82E-01	3.20E-02
2.89E+00	1.55E-01	4.50E-02
2.88E+00	1.59E-01	1.28E-01
2.81E+00	8.40E-02	1.13E-01
2.69E+00	-5.90E-02	4.30E-02
2.61E+00	-2.02E-01	-3.00E-02
2.61E+00	-2.70E-01	-5.90E-02
2.70E+00	-1.93E-01	-1.30E-02
2.82E+00	-4.30E-02	7.50E-02
2.88E+00	5.10E-02	1.31E-01
2.86E+00	8.10E-02	1.30E-01
2.76E+00	1.50E-02	6.20E-02
2.64E+00	-9.80E-02	-5.10E-02
2.61E+00	-1.74E-01	-1.05E-01
2.71E+00	-1.26E-01	-3.00E-03
2.86E+00	1.80E-02	2.13E-01
2.86E+00	1.45E-01	3.24E-01
2.74E+00	8.80E-02	1.93E-01
2.56E+00	-7.30E-02	-6.30E-02
2.44E+00	-2.09E-01	-2.45E-01
2.42E+00	-3.09E-01	-3.00E-01
2.51E+00	-2.82E-01	-2.33E-01
2.67E+00	-1.41E-01	-2.70E-02
2.79E+00	3.70E-02	1.65E-01
2.77E+00	1.15E-01	1.65E-01
2.71E+00	9.20E-02	3.30E-02
2.72E+00	4.10E-02	-4.80E-02
2.79E+00	6.20E-02	-1.10E-02
2.84E+00	1.22E-01	3.70E-02
2.84E+00	1.61E-01	3.00E-02
2.82E+00	1.40E-01	5.60E-02
2.81E+00	7.30E-02	-1.00E-02
2.84E+00	1.70E-02	1.17E-01
2.86E+00	6.70E-02	2.12E-01
2.84E+00	8.80E-02	2.45E-01
2.78E+00	5.40E-02	1.89E-01
2.71E+00	-4.30E-02	9.80E-02
2.70E+00	-8.40E-02	7.90E-02
2.75E+00	-5.60E-02	1.05E-01
2.80E+00	1.00E-03	1.16E-01
2.84E+00	7.40E-02	1.23E-01
2.84E+00	1.05E-01	1.21E-01
2.78E+00	7.90E-02	1.16E-01
2.69E+00	6.00E-03	6.40E-02
2.56E+00	-1.34E-01	5.50E-02
2.46E+00	-2.85E-01	7.50E-02
2.39E+00	-3.65E-01	-2.90E-02
2.41E+00	-4.03E-01	-1.22E-01
2.58E+00	-2.90E-01	-1.29E-01
2.85E+00	-1.50E-02	-2.00E-02
3.04E+00	2.69E-01	8.00E-02
3.04E+00	4.45E-01	1.36E-01
2.95E+00	3.50E-01	6.10E-02
2.87E+00	2.18E-01	-1.80E-02
2.87E+00	1.07E-01	-6.70E-02
2.93E+00	1.71E-01	-7.40E-02
2.98E+00	2.07E-01	-4.00E-02
2.95E+00	2.10E-01	8.90E-02
2.85E+00	3.50E-02	1.65E-01
2.70E+00	-1.40E-02	4.60E-02
2.61E+00	-1.94E-01	-5.30E-02
2.57E+00	-2.29E-01	-4.30E-02
2.56E+00	-2.90E-01	5.70E-02
2.56E+00	-2.76E-01	1.30E-01
2.55E+00	-2.71E-01	1.36E-01
2.60E+00	-2.64E-01	5.10E-02
2.69E+00	-1.59E-01	3.60E-02
2.80E+00	3.10E-02	2.60E-02
2.87E+00	1.46E-01	2.90E-02
2.88E+00	1.83E-01	-3.10E-02
2.82E+00	1.52E-01	-1.30E-02
2.72E+00	9.20E-02	-9.40E-02
2.63E+00	2.20E-02	-1.33E-01
2.57E+00	-5.50E-02	-1.35E-01
2.54E+00	-1.39E-01	-1.06E-01
2.57E+00	-1.74E-01	-7.40E-02
2.69E+00	-1.37E-01	-1.20E-02
2.84E+00	3.20E-02	6.10E-02
2.97E+00	2.32E-01	1.23E-01
2.98E+00	3.32E-01	2.00E-01
2.92E+00	2.79E-01	2.46E-01
2.82E+00	1.34E-01	2.20E-01
2.75E+00	0.00E+00	1.35E-01
2.70E+00	-8.90E-02	7.20E-02
2.73E+00	-1.29E-01	1.10E-02
2.84E+00	-7.40E-02	4.20E-02
2.93E+00	4.20E-02	1.09E-01
2.95E+00	1.22E-01	1.54E-01
2.84E+00	7.30E-02	1.11E-01
2.69E+00	-2.70E-02	-2.60E-02
2.62E+00	-1.19E-01	-1.27E-01
2.64E+00	-1.28E-01	-1.54E-01
2.73E+00	-9.00E-02	-4.30E-02
2.80E+00	-4.00E-02	1.34E-01
2.78E+00	-4.50E-02	1.83E-01
2.66E+00	-9.00E-02	7.90E-02
2.55E+00	-1.48E-01	-7.30E-02
2.49E+00	-2.41E-01	-1.89E-01
2.53E+00	-2.59E-01	-2.42E-01
2.68E+00	-1.45E-01	-2.01E-01
2.88E+00	2.20E-02	-5.00E-02
3.02E+00	2.65E-01	1.35E-01
2.97E+00	3.85E-01	2.61E-01
2.79E+00	2.48E-01	1.83E-01
2.60E+00	2.30E-02	3.00E-02
2.54E+00	-1.53E-01	-1.50E-02
2.53E+00	-2.33E-01	6.10E-02
2.54E+00	-2.84E-01	2.06E-01
2.57E+00	-2.89E-01	2.80E-01
2.59E+00	-2.81E-01	2.62E-01
2.62E+00	-2.44E-01	1.91E-01
2.66E+00	-2.02E-01	9.10E-02
2.72E+00	-1.50E-01	2.00E-03
2.85E+00	-1.50E-02	-5.30E-02
3.05E+00	2.14E-01	-6.70E-02
3.19E+00	4.26E-01	-2.20E-02
3.16E+00	3.94E-01	-4.50E-02
2.98E+00	3.53E-01	1.26E-01
2.73E+00	5.20E-02	-1.11E-01
2.54E+00	-1.72E-01	-1.62E-01
2.51E+00	-2.59E-01	-1.65E-01
2.61E+00	-1.96E-01	-1.60E-02
2.74E+00	-2.20E-02	8.00E-02
2.80E+00	8.90E-02	2.32E-01
2.73E+00	8.10E-02	2.40E-01
2.58E+00	-6.10E-02	1.56E-01
2.45E+00	-2.05E-01	6.00E-02
2.37E+00	-3.58E-01	-9.00E-03
2.39E+00	-4.03E-01	4.90E-02
2.54E+00	-3.46E-01	9.90E-02
2.77E+00	-1.35E-01	1.65E-01
2.91E+00	9.00E-02	2.65E-01
2.89E+00	1.41E-01	2.62E-01
2.73E+00	0.00E+00	7.60E-02
2.65E+00	-1.43E-01	-1.09E-01
2.74E+00	-1.28E-01	-1.83E-01
2.92E+00	3.20E-02	-1.30E-01
3.06E+00	2.45E-01	-3.60E-02
3.06E+00	3.30E-01	5.90E-02
2.94E+00	2.98E-01	-3.00E-03
2.79E+00	1.79E-01	2.90E-02
2.75E+00	9.90E-02	-6.60E-02
2.79E+00	1.36E-01	-2.20E-02
2.81E+00	1.47E-01	4.80E-02
2.77E+00	9.50E-02	1.50E-01
2.69E+00	2.30E-02	1.33E-01
2.61E+00	-6.60E-02	9.00E-02
2.53E+00	-1.35E-01	3.40E-02
2.48E+00	-2.16E-01	-1.80E-02
2.51E+00	-2.29E-01	-2.30E-02
2.60E+00	-1.80E-01	5.60E-02
2.66E+00	-1.37E-01	1.15E-01
2.67E+00	-6.00E-02	1.35E-01
2.63E+00	-7.40E-02	1.01E-01
2.61E+00	-1.67E-01	7.50E-02
2.61E+00	-1.90E-01	4.10E-02
2.67E+00	-2.02E-01	6.40E-02
2.74E+00	-1.55E-01	1.19E-01
2.81E+00	-6.70E-02	1.61E-01
2.82E+00	-2.70E-02	1.09E-01
2.84E+00	2.00E-02	1.40E-02
2.90E+00	9.00E-02	-4.90E-02
3.01E+00	2.06E-01	3.00E-03
3.04E+00	2.95E-01	7.70E-02
3.01E+00	3.02E-01	8.00E-02
2.97E+00	2.66E-01	2.50E-02
3.01E+00	2.62E-01	9.50E-02
3.04E+00	3.05E-01	1.83E-01
2.99E+00	3.14E-01	2.46E-01
2.88E+00	2.00E-01	1.39E-01
2.73E+00	0.00E+00	1.60E-02
2.63E+00	-1.62E-01	-5.00E-03
2.56E+00	-3.40E-01	5.50E-02
2.53E+00	-4.17E-01	1.03E-01
2.54E+00	-4.04E-01	1.67E-01
2.60E+00	-3.63E-01	2.23E-01
2.67E+00	-2.38E-01	2.41E-01
2.68E+00	-1.28E-01	1.82E-01
2.62E+00	-9.90E-02	7.80E-02
2.48E+00	-1.97E-01	-7.10E-02
2.36E+00	-3.50E-01	-1.88E-01
2.38E+00	-4.44E-01	-2.01E-01
2.52E+00	-4.12E-01	-9.20E-02
2.68E+00	-2.24E-01	4.00E-03
2.80E+00	-9.00E-03	2.50E-02
2.84E+00	1.27E-01	-4.00E-03
2.80E+00	2.25E-01	-8.40E-02
2.78E+00	1.29E-01	-1.61E-01
2.88E+00	1.89E-01	-5.70E-02
3.03E+00	1.98E-01	1.02E-01
3.11E+00	2.99E-01	1.71E-01
3.13E+00	3.97E-01	1.28E-01
3.08E+00	3.59E-01	-1.46E-01
3.01E+00	1.15E-01	-5.50E-02
2.96E+00	3.00E-03	7.10E-02
2.90E+00	7.60E-02	1.00E-02
2.80E+00	-1.70E-02	6.90E-02
2.64E+00	-1.31E-01	1.00E-02
2.47E+00	-3.11E-01	-9.00E-02
2.41E+00	-3.99E-01	-1.23E-01
2.44E+00	-4.29E-01	-4.00E-03
2.47E+00	-4.08E-01	1.04E-01
2.44E+00	-3.61E-01	3.80E-02
2.45E+00	-2.95E-01	-1.00E-01
2.59E+00	-1.48E-01	-1.19E-01
2.75E+00	4.10E-02	1.20E-02
2.82E+00	2.30E-01	1.11E-01
2.73E+00	2.23E-01	1.21E-01
2.55E+00	9.10E-02	1.00E-02
2.38E+00	-1.01E-01	-1.66E-01
2.35E+00	-2.65E-01	-2.23E-01
2.54E+00	-2.32E-01	-1.01E-01
2.87E+00	5.70E-02	9.20E-02
3.09E+00	4.00E-01	3.28E-01
3.08E+00	4.69E-01	3.46E-01
2.98E+00	2.98E-01	1.57E-01
2.93E+00	7.50E-02	-6.00E-03
2.97E+00	7.70E-02	-3.50E-02
3.04E+00	1.58E-01	3.10E-02
3.05E+00	2.18E-01	1.20E-01
2.98E+00	1.77E-01	1.85E-01
2.84E+00	-3.00E-02	5.60E-02
2.67E+00	-1.60E-01	-5.50E-02
2.53E+00	-3.48E-01	-1.46E-01
2.44E+00	-4.49E-01	-1.71E-01
2.36E+00	-5.22E-01	-2.01E-01
2.35E+00	-5.08E-01	-1.29E-01
2.44E+00	-4.76E-01	-6.60E-02
2.61E+00	-3.01E-01	3.90E-02
2.73E+00	-7.80E-02	1.38E-01
2.73E+00	7.20E-02	1.09E-01
2.65E+00	3.20E-02	-4.40E-02
2.62E+00	-1.30E-02	-1.24E-01
2.69E+00	5.70E-02	-7.60E-02
2.79E+00	2.04E-01	2.10E-02
2.85E+00	2.97E-01	1.55E-01
2.86E+00	2.80E-01	2.04E-01
2.83E+00	2.54E-01	1.40E-01
2.76E+00	1.70E-01	6.60E-02
2.71E+00	-3.50E-02	-5.00E-03
2.72E+00	-1.00E-01	-1.60E-02
2.78E+00	-9.30E-02	8.60E-02
2.82E+00	-6.10E-02	1.48E-01
2.83E+00	-5.30E-02	1.64E-01
2.83E+00	-7.80E-02	1.28E-01
2.84E+00	-7.30E-02	1.16E-01
2.85E+00	-4.90E-02	1.07E-01
2.81E+00	-6.50E-02	5.70E-02
2.73E+00	-8.60E-02	-1.90E-02
2.66E+00	-9.80E-02	-7.50E-02
2.65E+00	-9.90E-02	-1.09E-01
2.72E+00	-3.20E-02	-9.40E-02
2.87E+00	1.24E-01	1.40E-02
2.94E+00	2.42E-01	1.19E-01
2.87E+00	2.66E-01	1.41E-01
2.72E+00	1.85E-01	1.00E-02
2.62E+00	-1.10E-02	-1.74E-01
2.65E+00	1.90E-02	-1.46E-01
2.76E+00	1.30E-01	-5.40E-02
2.84E+00	2.53E-01	1.25E-01
2.79E+00	2.52E-01	2.70E-01
2.62E+00	1.17E-01	2.02E-01
2.44E+00	-1.04E-01	6.20E-02
2.36E+00	-2.76E-01	-1.01E-01
2.47E+00	-3.07E-01	-1.62E-01
2.69E+00	-1.77E-01	-8.60E-02
2.86E+00	7.00E-03	4.10E-02
2.92E+00	1.17E-01	1.13E-01
2.88E+00	7.60E-02	1.45E-01
2.78E+00	-8.00E-03	1.12E-01
2.71E+00	-1.05E-01	2.70E-02
2.69E+00	-1.36E-01	-7.30E-02
2.72E+00	-1.10E-01	-1.36E-01
2.76E+00	-9.40E-02	-1.20E-01
2.76E+00	-5.30E-02	-7.60E-02
2.74E+00	-4.70E-02	-6.60E-02
2.72E+00	-4.20E-02	-7.80E-02
2.74E+00	-1.90E-02	-5.10E-02
2.78E+00	4.10E-02	-1.20E-02
2.85E+00	1.71E-01	2.30E-02
2.90E+00	2.86E-01	6.00E-02
2.89E+00	3.17E-01	9.50E-02
2.84E+00	2.78E-01	7.90E-02
2.81E+00	2.27E-01	9.00E-02
2.79E+00	1.75E-01	4.20E-02
2.74E+00	1.28E-01	8.30E-02
2.68E+00	6.10E-02	3.00E-03
2.66E+00	-7.50E-02	-1.05E-01
2.68E+00	-1.35E-01	-5.50E-02
2.75E+00	-1.19E-01	7.70E-02
2.77E+00	-9.20E-02	1.67E-01
2.75E+00	-5.00E-02	1.66E-01
2.70E+00	-7.00E-02	1.15E-01
2.63E+00	-9.60E-02	6.30E-02
2.55E+00	-1.74E-01	-1.60E-02
2.48E+00	-2.55E-01	-1.05E-01
2.51E+00	-2.64E-01	-1.00E-01
2.62E+00	-2.27E-01	9.00E-03
2.68E+00	-1.08E-01	1.79E-01
2.66E+00	-3.30E-02	2.15E-01
2.56E+00	-6.60E-02	9.50E-02
2.52E+00	-1.49E-01	-9.90E-02
2.62E+00	-9.50E-02	-1.94E-01
2.88E+00	1.12E-01	-1.19E-01
3.18E+00	4.21E-01	6.80E-02
3.30E+00	6.78E-01	2.25E-01
3.17E+00	6.60E-01	2.07E-01
3.02E+00	3.76E-01	-3.30E-02
2.95E+00	2.11E-01	-1.64E-01
2.92E+00	1.44E-01	-4.10E-02
2.89E+00	4.10E-02	6.70E-02
2.79E+00	-9.20E-02	6.70E-02
2.66E+00	-1.57E-01	3.50E-02
2.55E+00	-2.24E-01	5.10E-02
2.47E+00	-2.72E-01	-2.40E-02
2.44E+00	-3.23E-01	-7.60E-02
2.48E+00	-3.87E-01	-9.00E-02
2.53E+00	-4.38E-01	9.00E-03
2.55E+00	-3.08E-01	1.47E-01
2.50E+00	-2.48E-01	1.75E-01
